layer,cs_condition,comparison,pair,cosine_mean,cosine_std,jaccard_mean,jaccard_std,n_sentences,n_matched_tok_mean
23,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.7596996898629569,0.18602519918239047,0.6038168945998872,0.07294344193961809,999,17.504504504504503
24,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.2649566767871514,0.2051364410061604,0.39699234504158165,0.07975714739533003,999,11.558558558558559
24,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.5930399036305761,0.28216504012493254,0.6126142684249233,0.1058458191024375,999,11.558558558558559
24,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.6329879285963448,0.17121567781756253,0.5388946201897992,0.09135338388900914,999,17.504504504504503
24,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.7222031243068555,0.21003634854567166,0.6101908292078935,0.07695371490624445,999,17.504504504504503
25,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.3293146155000822,0.20480086916339893,0.4047312664087138,0.07659096962096283,999,11.558558558558559
25,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.47880533656400925,0.39681790266450284,0.5489362450997655,0.09244800202786198,999,11.558558558558559
25,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.5544675072511515,0.15982157715003903,0.5205230987118971,0.08710992264309239,999,17.504504504504503
25,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.6987805472937664,0.2094071503660582,0.5954074281337263,0.0729032224338369,999,17.504504504504503
26,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.9610303158874627,0.05511213749023534,0.5188902207611663,0.11962448321345767,999,11.558558558558559
26,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.298522815736639,0.1535610673395924,0.5639966714213327,0.1242387014137563,999,11.558558558558559
26,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.9698529170678781,0.029692741359893218,0.5517094323700625,0.0868605044803442,999,17.504504504504503
26,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.7566014379113764,0.10033784294018464,0.581565301592414,0.08490734066881618,999,17.504504504504503
27,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,-0.11973327180804755,0.22392408529184143,0.37565361485653137,0.033664518655254126,999,11.558558558558559
27,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.9257878849694917,0.06509492991983344,0.6336234588501398,0.07526696100936853,999,11.558558558558559
27,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.5903967470890872,0.1935313376334036,0.5113520140650093,0.07946616065845141,999,17.504504504504503
27,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.8400967486586806,0.11397216531015765,0.612838123702105,0.0701367658139433,999,17.504504504504503
