layer,cs_condition,baseline,pair,jaccard_mean,jaccard_std,cosine_mean,cosine_std,n_sentences
20,cs_fr,french,EN_in_cs_fr_vs_french,0.5933689572180635,0.05420508926555376,0.7138939284019403,0.1096376536128405,999
21,cs_hi,english,EN_in_cs_hi_vs_english,0.38895583194750083,0.027650154550189054,0.2183996775190815,0.09900743508179641,999
21,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5935704241986715,0.07426260328898772,0.68748947878082,0.1410013808686801,999
21,cs_fr,english,EN_in_cs_fr_vs_english,0.5686170123344679,0.06113991602343391,0.6655446096594717,0.12243490081634315,999
21,cs_fr,french,EN_in_cs_fr_vs_french,0.6042031275732481,0.05589396488516485,0.7413206140499551,0.10080894607555195,999
22,cs_hi,english,EN_in_cs_hi_vs_english,0.38507230250467195,0.02577812641463935,0.22624243461608853,0.14550733146004552,999
22,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5938172658313066,0.08761713016914849,0.6753266662362967,0.1915046928502448,999
22,cs_fr,english,EN_in_cs_fr_vs_english,0.5643916940547272,0.06279495571345645,0.7114770445790768,0.13680398196602214,999
22,cs_fr,french,EN_in_cs_fr_vs_french,0.6038033774634097,0.058357692911163404,0.7667517099824097,0.10632976378369367,999
23,cs_hi,english,EN_in_cs_hi_vs_english,0.39159098599856573,0.02994770362772245,0.2120043029955069,0.22586510686066655,999
23,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5903186552071825,0.08352296976448823,0.638914695151292,0.23145897614824718,999
23,cs_fr,english,EN_in_cs_fr_vs_english,0.5732374753451615,0.06819666190332546,0.745280322862101,0.1484054846960218,999
23,cs_fr,french,EN_in_cs_fr_vs_french,0.6317175506217061,0.06732378711295811,0.8192860085118163,0.11546766696297446,999
24,cs_hi,english,EN_in_cs_hi_vs_english,0.3869589044514119,0.025463977953403473,0.04863688883209191,0.21655166076013468,999
24,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.6280526538622074,0.09863160084213954,0.6361368230641451,0.2502998368930829,999
24,cs_fr,english,EN_in_cs_fr_vs_english,0.5465780560568082,0.061982986472508786,0.6478672159842223,0.17636591674120558,999
24,cs_fr,french,EN_in_cs_fr_vs_french,0.6391751565728643,0.06666288510479941,0.7944493172494499,0.13745698976546172,999
25,cs_hi,english,EN_in_cs_hi_vs_english,0.3772684304527909,0.022755276788700797,0.2323201994425165,0.21096258127642498,999
25,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5629617174553317,0.08787929443167028,0.5404429702153262,0.357890938186421,999
25,cs_fr,english,EN_in_cs_fr_vs_english,0.5160138552035612,0.06167563301527213,0.5395482424413552,0.16362512743469346,999
25,cs_fr,french,EN_in_cs_fr_vs_french,0.6243093036772517,0.06672394676268492,0.7762530734193874,0.14789078163475405,999
26,cs_hi,english,EN_in_cs_hi_vs_english,0.403338349613925,0.036455136502179776,0.8097963009749327,0.11318176830742106,999
26,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5851430409227157,0.1212523849330603,0.32256589568144567,0.16076623365302678,999
26,cs_fr,english,EN_in_cs_fr_vs_english,0.5115818770969043,0.06231500867959459,0.8659966215715036,0.08298696802462763,999
26,cs_fr,french,EN_in_cs_fr_vs_french,0.6184019792226614,0.07413520989945015,0.7857667645057281,0.08173651440176863,999
27,cs_hi,english,EN_in_cs_hi_vs_english,0.3888186798406694,0.02935864955089729,-0.3378362541622552,0.12447615432944473,999
27,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.6449968811337602,0.0737377047884933,0.9315221018500037,0.06456250188688939,999
27,cs_fr,english,EN_in_cs_fr_vs_english,0.5318594800800605,0.06715474199426302,0.5974402767349709,0.19448767038755654,999
27,cs_fr,french,EN_in_cs_fr_vs_french,0.6397961768396866,0.06481585920108929,0.8676942370168201,0.09300907411744698,999
